  HMM 53000/53973 | elapsed 3158s | eta 58s
  HMM 53500/53973 | elapsed 3180s | eta 28s
  HMM 53973/53973 | elapsed 3201s | eta 0s
Saved segments (32,418,025 rows) → /Users/jiayichiyun/Code/deep-gw-cnv/models/experiments/43/../../../data/results/43_06convvae_beta4_18cnvcaller/segments.parquet
Calling gene CNVs...
Precomputing per-chromosome sanity checks...
Parsing genes from /Users/jiayichiyun/Code/deep-gw-cnv/models/experiments/43/../../../assets/PlasmoDB-54_Pfalciparum3D7.gff...
  5,285 protein-coding genes on nuclear chromosomes
HMM-primary calling: CN>=2 gene-body coverage >= 0.50 (confidence >= 0.25); CRR rescue >= 1.55 (applies before sanity check) (no noise filter).
Calling genome-wide CNVs for 53,973 samples...
/Users/jiayichiyun/Code/deep-gw-cnv/models/cnv/18_genome_cnv_caller.py:289: RuntimeWarning: Mean of empty slice
  mean_gene  = np.nanmean(cr_chrom[:, gene_mask_l],  axis=1)
/Users/jiayichiyun/Code/deep-gw-cnv/models/cnv/18_genome_cnv_caller.py:290: RuntimeWarning: Mean of empty slice
  mean_flank = np.nanmean(cr_chrom[:, flank_mask_l], axis=1)
/Users/jiayichiyun/Code/deep-gw-cnv/models/cnv/18_genome_cnv_caller.py:289: RuntimeWarning: Mean of empty slice
  mean_gene  = np.nanmean(cr_chrom[:, gene_mask_l],  axis=1)
/Users/jiayichiyun/Code/deep-gw-cnv/models/cnv/18_genome_cnv_caller.py:290: RuntimeWarning: Mean of empty slice
  mean_flank = np.nanmean(cr_chrom[:, flank_mask_l], axis=1)
/Users/jiayichiyun/Code/deep-gw-cnv/models/cnv/18_genome_cnv_caller.py:289: RuntimeWarning: Mean of empty slice
  mean_gene  = np.nanmean(cr_chrom[:, gene_mask_l],  axis=1)
/Users/jiayichiyun/Code/deep-gw-cnv/models/cnv/18_genome_cnv_caller.py:290: RuntimeWarning: Mean of empty slice
  mean_flank = np.nanmean(cr_chrom[:, flank_mask_l], axis=1)
  500/5285 genes | elapsed 181s
/Users/jiayichiyun/Code/deep-gw-cnv/models/cnv/18_genome_cnv_caller.py:289: RuntimeWarning: Mean of empty slice
  mean_gene  = np.nanmean(cr_chrom[:, gene_mask_l],  axis=1)
/Users/jiayichiyun/Code/deep-gw-cnv/models/cnv/18_genome_cnv_caller.py:290: RuntimeWarning: Mean of empty slice
  mean_flank = np.nanmean(cr_chrom[:, flank_mask_l], axis=1)
/Users/jiayichiyun/Code/deep-gw-cnv/models/cnv/18_genome_cnv_caller.py:289: RuntimeWarning: Mean of empty slice
  mean_gene  = np.nanmean(cr_chrom[:, gene_mask_l],  axis=1)
/Users/jiayichiyun/Code/deep-gw-cnv/models/cnv/18_genome_cnv_caller.py:290: RuntimeWarning: Mean of empty slice
  mean_flank = np.nanmean(cr_chrom[:, flank_mask_l], axis=1)
  1000/5285 genes | elapsed 439s
/Users/jiayichiyun/Code/deep-gw-cnv/models/cnv/18_genome_cnv_caller.py:289: RuntimeWarning: Mean of empty slice
  mean_gene  = np.nanmean(cr_chrom[:, gene_mask_l],  axis=1)
/Users/jiayichiyun/Code/deep-gw-cnv/models/cnv/18_genome_cnv_caller.py:290: RuntimeWarning: Mean of empty slice
  mean_flank = np.nanmean(cr_chrom[:, flank_mask_l], axis=1)
/Users/jiayichiyun/Code/deep-gw-cnv/models/cnv/18_genome_cnv_caller.py:289: RuntimeWarning: Mean of empty slice
  mean_gene  = np.nanmean(cr_chrom[:, gene_mask_l],  axis=1)
/Users/jiayichiyun/Code/deep-gw-cnv/models/cnv/18_genome_cnv_caller.py:290: RuntimeWarning: Mean of empty slice
  mean_flank = np.nanmean(cr_chrom[:, flank_mask_l], axis=1)
  1500/5285 genes | elapsed 709s
/Users/jiayichiyun/Code/deep-gw-cnv/models/cnv/18_genome_cnv_caller.py:289: RuntimeWarning: Mean of empty slice
  mean_gene  = np.nanmean(cr_chrom[:, gene_mask_l],  axis=1)
/Users/jiayichiyun/Code/deep-gw-cnv/models/cnv/18_genome_cnv_caller.py:290: RuntimeWarning: Mean of empty slice
  mean_flank = np.nanmean(cr_chrom[:, flank_mask_l], axis=1)
/Users/jiayichiyun/Code/deep-gw-cnv/models/cnv/18_genome_cnv_caller.py:289: RuntimeWarning: Mean of empty slice
  mean_gene  = np.nanmean(cr_chrom[:, gene_mask_l],  axis=1)
/Users/jiayichiyun/Code/deep-gw-cnv/models/cnv/18_genome_cnv_caller.py:290: RuntimeWarning: Mean of empty slice
  mean_flank = np.nanmean(cr_chrom[:, flank_mask_l], axis=1)
  2000/5285 genes | elapsed 1001s
/Users/jiayichiyun/Code/deep-gw-cnv/models/cnv/18_genome_cnv_caller.py:289: RuntimeWarning: Mean of empty slice
  mean_gene  = np.nanmean(cr_chrom[:, gene_mask_l],  axis=1)
/Users/jiayichiyun/Code/deep-gw-cnv/models/cnv/18_genome_cnv_caller.py:290: RuntimeWarning: Mean of empty slice
  mean_flank = np.nanmean(cr_chrom[:, flank_mask_l], axis=1)
